Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C2, C22, C23, C24, C26, C3, C6, C7, C8, C9",0603,17,100n,
"C19, C20",1206,2,106 1206,
"C21, C25",0603,2,4.7u,
"C27, C28",0603,2,103,
"C29, C30",0603,2,101,
"C31, C32, C33, C34",1206,4,22uf 0603,
"C4, C5",0603,2,10p,
"D10, D8, D9",0603,3,LED,
D3,0603,1,blue,
D5,0603,1,green,
"D6, D7",D_SMA,2,B140-E3,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J2,XT30PW-M,1,Conn_01x02,
J3,XT30PW-F,1,Conn_01x02,
J4,PinHeader_2x06_P2.54mm_Vertical_SMD,1,Conn_02x06_Odd_Even,
J5,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04,
J6,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,Conn_01x03,
J7,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
J8,PinHeader_2x05_P2.54mm_Vertical_SMD,1,Conn_02x05_Odd_Even,
L1,L_Abracon_ASPI-0630LR,1,10uH,
L2,L_Abracon_ASPI-0630LR,1,15uH,
"R10, R11, R3, R4, R8, R9",0603,6,10k,
"R12, R13",0603,2,6k,
"R14, R15, R18, R23, R24, R5, R7",0603,7,1k,
"R16, R17, R19, R21",0603,4,100k,
R2,Resistance,1,8m,
R20,0603,1,5.26k,
R22,0603,1,11.4k,
"SW1, SW2, SW3, SW4, SW5",SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,5,SW_Push,
U1,SOT-23,1,REF3030,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32G474RCTx,
U3,SOT-23-5,1,INA180A3,
U6,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,AP7361C,
"U7, U8",SOT-23-8,2,SY8303,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25M,
