Designator,Mid X,Mid Y,Rotation,Layer
C1,57.48,21.6,180.0,top
C10,43.76,9.0,90.0,top
C11,41.69,22.77,0.0,top
C12,12.6,6.0,180.0,top
C13,19.6,6.0,180.0,top
C14,33.6,6.0,180.0,top
C15,26.6,6.0,180.0,top
C19,7.5,22.5,270.0,top
C2,49.49,5.9875,90.0,top
C20,23.0,45.0,270.0,top
C21,23.63,29.17,0.0,top
C22,23.617978,27.62,0.0,top
C23,9.6,21.7,270.0,top
C24,25.0,44.3,270.0,top
C25,31.51,30.6225,180.0,top
C26,31.51,27.46,180.0,top
C27,9.6,17.9,90.0,top
C28,25.0,40.0,90.0,top
C29,15.0,16.0,270.0,top
C3,68.5,2.0,270.0,top
C30,30.6,37.5,270.0,top
C31,11.77,13.5,270.0,top
C32,27.53,35.0,270.0,top
C33,9.3,13.5,270.0,top
C34,25.0,35.0,270.0,top
C4,42.4,14.8,270.0,top
C5,42.4,18.2,270.0,top
C6,41.6975,21.2,0.0,top
C7,56.0,8.8,180.0,top
C8,57.4775,20.06,180.0,top
C9,54.59,5.99,90.0,top
D10,32.3,34.04,90.0,top
D3,48.6,23.8,270.0,top
D5,50.4,23.8,270.0,top
D6,18.0,44.0,180.0,top
D7,4.4,23.5,90.0,top
D8,34.0875,28.42,90.0,top
D9,16.7,12.5,90.0,top
J2,7.225,35.0,90.0,top
J3,98.02,35.35,270.0,top
J4,90.0,17.51,0.0,top
J5,85.0,3.35,180.0,top
J6,75.71,3.34,180.0,top
J7,27.55,24.405,90.0,top
J8,56.0,8.0,0.0,bottom
L1,4.4,15.0,270.0,top
L2,20.0,37.5,270.0,top
R10,33.6,7.6,180.0,top
R11,26.6,7.6,180.0,top
R12,40.3,8.7,0.0,top
R13,40.3,12.1,0.0,top
R14,40.3,7.0,0.0,top
R15,40.3,10.4,0.0,top
R16,16.0,18.5,0.0,top
R17,31.4925,40.5,0.0,top
R18,31.51,29.03,0.0,top
R19,16.7,16.0,270.0,top
R2,84.0,32.0,0.0,top
R20,18.4,16.0,90.0,top
R21,32.3,37.5,270.0,top
R22,34.0,37.5025,90.0,top
R23,15.0,12.5,270.0,top
R24,30.6,34.045,270.0,top
R3,68.5,5.4,90.0,top
R4,45.0,23.8,90.0,top
R5,46.8,23.8,90.0,top
R7,52.2,23.8,90.0,top
R8,12.6,7.6,180.0,top
R9,19.6,7.6,180.0,top
SW1,65.5,3.45,90.0,top
SW2,14.0,3.1,180.0,top
SW3,21.0,3.1,180.0,top
SW4,35.0,3.1,180.0,top
SW5,28.0,3.1,180.0,top
U1,52.02,6.26,90.0,top
U2,50.0,15.0,270.0,top
U3,84.0,27.0,0.0,bottom
U6,27.53,28.44,90.0,top
U7,12.3,17.9,180.0,top
U8,27.9,40.0,180.0,top
Y1,39.7,16.5,90.0,top
